,Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo
0,2022,3,1395277.0,6031970.0,2871541.0,557.11,235.23,11091128.0,Jul-Sept 2022
1,2022,2,1468333.0,5979214.0,2723285.0,556.243,231.609,10958684.0,Abr-Jun 2022
2,2022,1,1533240.0,6073426.0,2219533.0,545.814,251.996,10624009.0,Ene-Mar 2022
3,2021,4,1657615.0,5984240.0,2072236.0,523.107,252.596,10489794.0,Oct-Dic 2021
4,2021,3,1950631.0,5826257.0,1566048.0,492.415,250.19,10085541.0,Jul-Sept 2021
5,2021,2,2018587.0,5641731.0,1472246.0,476.968,253.552,9863084.0,Abr-Jun 2021
6,2021,1,2175211.0,5424782.0,1362976.0,434.548,250.455,9647972.0,Ene-Mar 2021
7,2020,4,2213949.0,5371824.0,1311199.0,421.554,253.036,9571562.0,Oct-Dic 2020
8,2020,3,2263889.0,5259351.0,1170879.0,413.259,248.821,9356199.0,Jul-Sept 2020
9,2020,2,2295533.0,5005115.0,1106725.0,376.667,247.016,9031056.0,Abr-Jun 2020
10,2020,1,2299457.0,4903674.0,1047817.0,352.333,209.145,8812426.0,Ene-Mar 2020
11,2019,4,2414575.0,4883869.0,941295.0,340.144,213.298,8793181.0,Oct-Dic 2019
12,2019,3,2909805.0,4800091.0,852221.0,338.241,264.326,9164684.0,Jul-Sept 2019
13,2019,2,2990457.0,4635575.0,760794.0,308.027,265.328,8960181.0,Abr-Jun 2019
14,2019,1,3132789.0,4435439.0,637099.0,276.419,166.389,8648135.0,Ene-Mar 2019
15,2018,4,3329027.0,4313831.0,388013.0,264.299,178.485,8473655.0,Oct-Dic 2018
16,2018,3,3521447.0,4238171.0,247366.0,246.181,93.87,8347035.0,Jul-Sept 2018
17,2018,2,3557216.0,4038141.0,226285.0,194.267,94.535,8110444.0,Abr-Jun 2018
18,2018,1,3574294.0,3981129.0,217460.0,165.3,98.87,8037053.0,Ene-Mar 2018
19,2017,4,3584311.0,3818157.0,211425.0,155.775,100.554,7870222.0,Oct-Dic 2017
20,2017,3,3622575.0,3670221.0,193964.0,106.443,131.74,7724943.0,Jul-Sept 2017
21,2017,2,3723518.0,3383434.0,180777.0,85.813,56.122,7429664.0,Abr-Jun 2017
22,2017,1,3708898.0,3276251.0,180146.0,84.813,55.746,7305854.0,Ene-Mar 2017
23,2016,4,3722794.0,3210602.0,178070.0,85.119,55.088,7251673.0,Oct-Dic 2016
24,2016,3,3776442.0,3124855.0,169898.0,81.455,54.3,7206950.0,Jul-Sept 2016
25,2016,2,3782085.0,3035272.0,167788.0,85.452,59.482,7130079.0,Abr-Jun 2016
26,2016,1,3792493.0,2806359.0,164371.0,85.37,58.763,6907356.0,Ene-Mar 2016
27,2015,4,3803024.0,2898226.0,139187.0,85.726,58.668,6984831.0,Oct-Dic 2015
28,2015,3,3788696.0,2840203.0,162663.0,84.53,58.976,6935068.0,Jul-Sept 2015
29,2015,2,3767821.0,2756294.0,150839.0,82.077,59.157,6816188.0,Abr-Jun 2015
30,2015,1,3756153.0,2668248.0,168188.0,79.098,66.045,6737732.0,Ene-Mar 2015
31,2014,4,3764038.0,2536219.0,149682.0,76.984,71.573,6598496.0,Oct-Dic 2014
32,2014,3,3714764.0,2569868.0,155494.0,85.096,70.049,6595271.0,Jul-Sept 2014
33,2014,2,3708882.0,2461670.0,149363.0,72.405,72.148,6464468.0,Abr-Jun 2014
34,2014,1,3697066.0,2407330.0,150323.0,70.749,72.93,6398398.0,Ene-Mar 2014
