,Año,Trimestre,Banda ancha fija,Dial up,Total,Periodo,Provincia
0,2022,3,11078691.0,,11091128.0,Jul-Sept 2022,
1,2022,2,10946248.0,,10958684.0,Abr-Jun 2022,
2,2022,1,10611390.0,,10624009.0,Ene-Mar 2022,
3,2021,4,10476933.0,,10489794.0,Oct-Dic 2021,
4,2021,3,10075184.0,,10085541.0,Jul-Sept 2021,
5,2021,2,9852702.0,,9863084.0,Abr-Jun 2021,
6,2021,1,9637956.0,,9647972.0,Ene-Mar 2021,
7,2020,4,9561546.0,,9571562.0,Oct-Dic 2020,
8,2020,3,9346183.0,,9356199.0,Jul-Sept 2020,
9,2020,2,9021040.0,,9031056.0,Abr-Jun 2020,
10,2020,1,8802435.0,,8812426.0,Ene-Mar 2020,
11,2019,4,8783053.0,,8793181.0,Oct-Dic 2019,
12,2019,3,9142891.0,,9164684.0,Jul-Sept 2019,
13,2019,2,8938427.0,,8960181.0,Abr-Jun 2019,
14,2019,1,8626323.0,,8648135.0,Ene-Mar 2019,
15,2018,4,8451841.0,,8473655.0,Oct-Dic 2018,
16,2018,3,8320223.0,,8347035.0,Jul-Sept 2018,
17,2018,2,8083533.0,,8110444.0,Abr-Jun 2018,
18,2018,1,8009981.0,,8037053.0,Ene-Mar 2018,
19,2017,4,7842778.0,,7870222.0,Oct-Dic 2017,
20,2017,3,7696594.0,,7724943.0,Jul-Sept 2017,
21,2017,2,7401134.0,,7429664.0,Abr-Jun 2017,
22,2017,1,7277314.0,,7305854.0,Ene-Mar 2017,
23,2016,4,7223128.0,,7251673.0,Oct-Dic 2016,
24,2016,3,7178340.0,,7206950.0,Jul-Sept 2016,
25,2016,2,7097604.0,,7130079.0,Abr-Jun 2016,
26,2016,1,6874704.0,,6907356.0,Ene-Mar 2016,
27,2015,4,6952289.0,,6984831.0,Oct-Dic 2015,
28,2015,3,6902267.0,,6935068.0,Jul-Sept 2015,
29,2015,2,6783279.0,,6816188.0,Abr-Jun 2015,
30,2015,1,6699714.0,,6737732.0,Ene-Mar 2015,
31,2014,4,6559172.0,,6598496.0,Oct-Dic 2014,
32,2014,3,6559264.0,,6595271.0,Jul-Sept 2014,
33,2014,2,6428329.0,,6464468.0,Abr-Jun 2014,
34,2014,1,6362108.0,,6398398.0,Ene-Mar 2014,
0,2022,3,4715469.0,6.199,4721668.0,,Buenos Aires
1,2022,3,1545534.0,2.145,1547679.0,,Capital Federal
2,2022,3,70292.0,1.0,70293.0,,Catamarca
3,2022,3,144141.0,5.0,144146.0,,Chaco
4,2022,3,164874.0,904.0,165778.0,,Chubut
5,2022,3,1038600.0,68.0,1038668.0,,Córdoba
6,2022,3,144842.0,4.0,144846.0,,Corrientes
7,2022,3,268937.0,22.0,268959.0,,Entre Ríos
8,2022,3,68537.0,1.0,68538.0,,Formosa
9,2022,3,118823.0,0.0,118823.0,,Jujuy
10,2022,3,115921.0,171.0,116092.0,,La Pampa
11,2022,3,86860.0,4.0,86864.0,,La Rioja
12,2022,3,288746.0,777.0,289523.0,,Mendoza
13,2022,3,182157.0,0.0,182157.0,,Misiones
14,2022,3,162693.0,468.0,163161.0,,Neuquén
15,2022,3,160010.0,548.0,160558.0,,Río Negro
16,2022,3,204536.0,5.0,204541.0,,Salta
17,2022,3,103118.0,281.0,103399.0,,San Juan
18,2022,3,121888.0,182.0,122070.0,,San Luis
19,2022,3,49312.0,198.0,49510.0,,Santa Cruz
20,2022,3,887700.0,110.0,887810.0,,Santa Fe
21,2022,3,119030.0,2.0,119032.0,,Santiago Del Estero
22,2022,3,53584.0,312.0,53896.0,,Tierra Del Fuego
23,2022,3,263087.0,30.0,263117.0,,Tucumán
24,2022,2,4660984.0,6.199,4667183.0,,Buenos Aires
25,2022,2,1534626.0,2.145,1536771.0,,Capital Federal
26,2022,2,67007.0,1.0,67008.0,,Catamarca
27,2022,2,143559.0,5.0,143564.0,,Chaco
28,2022,2,161901.0,904.0,162805.0,,Chubut
29,2022,2,1026367.0,68.0,1026435.0,,Córdoba
30,2022,2,144993.0,4.0,144997.0,,Corrientes
31,2022,2,269330.0,22.0,269352.0,,Entre Ríos
32,2022,2,67881.0,0.0,67881.0,,Formosa
33,2022,2,115314.0,0.0,115314.0,,Jujuy
34,2022,2,111356.0,171.0,111527.0,,La Pampa
35,2022,2,86026.0,4.0,86030.0,,La Rioja
36,2022,2,278785.0,777.0,279562.0,,Mendoza
37,2022,2,178813.0,0.0,178813.0,,Misiones
38,2022,2,161500.0,468.0,161968.0,,Neuquén
39,2022,2,159216.0,548.0,159764.0,,Río Negro
40,2022,2,203172.0,5.0,203177.0,,Salta
41,2022,2,100126.0,281.0,100407.0,,San Juan
42,2022,2,121559.0,182.0,121741.0,,San Luis
43,2022,2,48987.0,198.0,49185.0,,Santa Cruz
44,2022,2,878749.0,110.0,878859.0,,Santa Fe
45,2022,2,118042.0,2.0,118044.0,,Santiago Del Estero
46,2022,2,53458.0,312.0,53770.0,,Tierra Del Fuego
47,2022,2,254497.0,30.0,254527.0,,Tucumán
48,2022,1,4549131.0,6.293,4555424.0,,Buenos Aires
49,2022,1,1415378.0,2.163,1417541.0,,Capital Federal
50,2022,1,62377.0,1.0,62378.0,,Catamarca
51,2022,1,144114.0,5.0,144119.0,,Chaco
52,2022,1,170701.0,927.0,171628.0,,Chubut
53,2022,1,1003729.0,74.0,1003803.0,,Córdoba
54,2022,1,142574.0,4.0,142578.0,,Corrientes
55,2022,1,267904.0,22.0,267926.0,,Entre Ríos
56,2022,1,54548.0,0.0,54548.0,,Formosa
57,2022,1,116509.0,0.0,116509.0,,Jujuy
58,2022,1,109560.0,172.0,109732.0,,La Pampa
59,2022,1,84299.0,4.0,84303.0,,La Rioja
60,2022,1,274399.0,786.0,275185.0,,Mendoza
61,2022,1,171508.0,0.0,171508.0,,Misiones
62,2022,1,149208.0,471.0,149679.0,,Neuquén
63,2022,1,156821.0,553.0,157374.0,,Río Negro
64,2022,1,197510.0,5.0,197515.0,,Salta
65,2022,1,87888.0,290.0,88178.0,,San Juan
66,2022,1,119659.0,185.0,119844.0,,San Luis
67,2022,1,48898.0,204.0,49102.0,,Santa Cruz
68,2022,1,870364.0,115.0,870479.0,,Santa Fe
69,2022,1,116459.0,2.0,116461.0,,Santiago Del Estero
70,2022,1,52298.0,313.0,52611.0,,Tierra Del Fuego
71,2022,1,245554.0,30.0,245584.0,,Tucumán
72,2021,4,4502772.0,6.385,4509157.0,,Buenos Aires
73,2021,4,1409935.0,2.184,1412119.0,,Capital Federal
74,2021,4,59089.0,1.0,59090.0,,Catamarca
75,2021,4,143740.0,5.0,143745.0,,Chaco
76,2021,4,159364.0,944.0,160308.0,,Chubut
77,2021,4,986693.0,77.0,986770.0,,Córdoba
78,2021,4,135908.0,4.0,135912.0,,Corrientes
79,2021,4,265024.0,22.0,265046.0,,Entre Ríos
80,2021,4,53663.0,0.0,53663.0,,Formosa
81,2021,4,113915.0,0.0,113915.0,,Jujuy
82,2021,4,106834.0,173.0,107007.0,,La Pampa
83,2021,4,83124.0,4.0,83128.0,,La Rioja
84,2021,4,266783.0,804.0,267587.0,,Mendoza
85,2021,4,171132.0,0.0,171132.0,,Misiones
86,2021,4,146989.0,477.0,147466.0,,Neuquén
87,2021,4,153189.0,564.0,153753.0,,Río Negro
88,2021,4,199399.0,6.0,199405.0,,Salta
89,2021,4,79667.0,291.0,79958.0,,San Juan
90,2021,4,118662.0,187.0,118849.0,,San Luis
91,2021,4,48276.0,210.0,48486.0,,Santa Cruz
92,2021,4,866265.0,176.0,866441.0,,Santa Fe
93,2021,4,115859.0,2.0,115861.0,,Santiago Del Estero
94,2021,4,52042.0,315.0,52357.0,,Tierra Del Fuego
95,2021,4,238609.0,30.0,238639.0,,Tucumán
96,2021,3,4246425.0,5.184,4251609.0,,Buenos Aires
97,2021,3,1411797.0,1.608,1413405.0,,Capital Federal
98,2021,3,56253.0,1.0,56254.0,,Catamarca
99,2021,3,139868.0,3.0,139871.0,,Chaco
100,2021,3,155266.0,800.0,156066.0,,Chubut
101,2021,3,946726.0,62.0,946788.0,,Córdoba
102,2021,3,133816.0,3.0,133819.0,,Corrientes
103,2021,3,260360.0,15.0,260375.0,,Entre Ríos
104,2021,3,52795.0,0.0,52795.0,,Formosa
105,2021,3,111158.0,0.0,111158.0,,Jujuy
106,2021,3,100371.0,116.0,100487.0,,La Pampa
107,2021,3,82157.0,3.0,82160.0,,La Rioja
108,2021,3,255320.0,619.0,255939.0,,Mendoza
109,2021,3,158528.0,0.0,158528.0,,Misiones
110,2021,3,139436.0,373.0,139809.0,,Neuquén
111,2021,3,144084.0,501.0,144585.0,,Río Negro
112,2021,3,195831.0,2.0,195833.0,,Salta
113,2021,3,79227.0,256.0,79483.0,,San Juan
114,2021,3,117716.0,148.0,117864.0,,San Luis
115,2021,3,48779.0,197.0,48976.0,,Santa Cruz
116,2021,3,841433.0,151.0,841584.0,,Santa Fe
117,2021,3,115457.0,1.0,115458.0,,Santiago Del Estero
118,2021,3,49934.0,289.0,50223.0,,Tierra Del Fuego
119,2021,3,232447.0,25.0,232472.0,,Tucumán
120,2021,2,4127167.0,5.184,4132351.0,,Buenos Aires
121,2021,2,1398747.0,1.608,1400355.0,,Capital Federal
122,2021,2,55743.0,1.0,55744.0,,Catamarca
123,2021,2,140726.0,3.0,140729.0,,Chaco
124,2021,2,138412.0,825.0,139237.0,,Chubut
125,2021,2,930818.0,62.0,930880.0,,Córdoba
126,2021,2,129498.0,3.0,129501.0,,Corrientes
127,2021,2,257617.0,15.0,257632.0,,Entre Ríos
128,2021,2,51551.0,0.0,51551.0,,Formosa
129,2021,2,111848.0,0.0,111848.0,,Jujuy
130,2021,2,97551.0,116.0,97667.0,,La Pampa
131,2021,2,81599.0,3.0,81602.0,,La Rioja
132,2021,2,229052.0,619.0,229671.0,,Mendoza
133,2021,2,156176.0,0.0,156176.0,,Misiones
134,2021,2,137877.0,373.0,138250.0,,Neuquén
135,2021,2,143583.0,501.0,144084.0,,Río Negro
136,2021,2,191637.0,2.0,191639.0,,Salta
137,2021,2,78677.0,256.0,78933.0,,San Juan
138,2021,2,122670.0,148.0,122818.0,,San Luis
139,2021,2,48785.0,197.0,48982.0,,Santa Cruz
140,2021,2,840449.0,151.0,840600.0,,Santa Fe
141,2021,2,114089.0,1.0,114090.0,,Santiago Del Estero
142,2021,2,35404.0,289.0,35693.0,,Tierra Del Fuego
143,2021,2,233026.0,25.0,233051.0,,Tucumán
144,2021,1,4054936.0,5.066,4060002.0,,Buenos Aires
145,2021,1,1378283.0,1.39,1379673.0,,Capital Federal
146,2021,1,51967.0,1.0,51968.0,,Catamarca
147,2021,1,139767.0,3.0,139770.0,,Chaco
148,2021,1,131515.0,825.0,132340.0,,Chubut
149,2021,1,910826.0,55.0,910881.0,,Córdoba
150,2021,1,126622.0,3.0,126625.0,,Corrientes
151,2021,1,251950.0,13.0,251963.0,,Entre Ríos
152,2021,1,50686.0,0.0,50686.0,,Formosa
153,2021,1,110456.0,0.0,110456.0,,Jujuy
154,2021,1,96989.0,116.0,97105.0,,La Pampa
155,2021,1,52625.0,3.0,52628.0,,La Rioja
156,2021,1,218308.0,615.0,218923.0,,Mendoza
157,2021,1,149387.0,0.0,149387.0,,Misiones
158,2021,1,132862.0,373.0,133235.0,,Neuquén
159,2021,1,140667.0,501.0,141168.0,,Río Negro
160,2021,1,187572.0,2.0,187574.0,,Salta
161,2021,1,78011.0,256.0,78267.0,,San Juan
162,2021,1,119006.0,148.0,119154.0,,San Luis
163,2021,1,45868.0,197.0,46065.0,,Santa Cruz
