,Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
0,BUENOS AIRES,Bahía Blanca,Villa Bordeau,--,--,--,--,SI,SI,--,--,--
1,BUENOS AIRES,Bahía Blanca,Villa Espora,--,--,--,--,--,--,--,--,--
2,BUENOS AIRES,Balcarce,Balcarce,SI,SI,SI,SI,SI,SI,SI,SI,--
3,BUENOS AIRES,Balcarce,Los Pinos,--,--,--,--,--,--,SI,SI,--
4,BUENOS AIRES,Balcarce,Napaleofú,--,--,--,SI,SI,SI,SI,SI,--
5,BUENOS AIRES,Balcarce,Ramos Otero,--,--,--,--,SI,--,--,SI,--
6,BUENOS AIRES,Balcarce,San Agustín,--,--,--,--,--,--,SI,SI,--
7,BUENOS AIRES,Balcarce,Villa Laguna La Brava,--,--,--,--,SI,SI,SI,SI,--
8,BUENOS AIRES,Baradero,Baradero,SI,SI,--,SI,SI,SI,SI,SI,SI
9,BUENOS AIRES,Baradero,Irineo Portela,--,--,--,SI,--,--,SI,SI,SI
10,BUENOS AIRES,Baradero,Santa Coloma,--,--,--,--,SI,--,--,SI,--
11,BUENOS AIRES,Baradero,Villa Alsina (Est. Alsina),SI,--,--,--,SI,SI,SI,SI,--
12,BUENOS AIRES,Benito Juárez,Barker,--,--,SI,SI,SI,SI,SI,SI,SI
13,CHUBUT,Futaleufú,Lago Rosario,--,--,--,--,--,--,SI,--,SI
14,BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),SI,SI,SI,SI,SI,SI,SI,SI,--
15,BUENOS AIRES,General Las Heras,La Choza,--,--,--,--,--,--,--,--,--
16,BUENOS AIRES,General Las Heras,Lozano,--,--,--,--,--,--,--,--,SI
17,BUENOS AIRES,General Las Heras,Plomer,--,--,--,--,--,--,SI,--,--
18,BUENOS AIRES,General Las Heras,Villars,--,SI,SI,SI,--,--,SI,--,--
19,BUENOS AIRES,General Lavalle,Chacras de San Clemente,--,--,--,--,--,--,--,SI,--
20,BUENOS AIRES,General Lavalle,General Lavalle,--,SI,--,SI,SI,SI,SI,SI,SI
21,BUENOS AIRES,General Lavalle,Pavón,--,--,--,SI,SI,SI,--,SI,--
22,BUENOS AIRES,General Paz,Barrio Río Salado,--,--,--,--,--,--,--,--,--
23,BUENOS AIRES,General Paz,Loma Verde,--,--,--,--,SI,SI,SI,SI,--
24,BUENOS AIRES,General Paz,Ranchos,SI,--,SI,SI,SI,SI,SI,SI,--
25,BUENOS AIRES,General Paz,Villanueva (Ap. Río Salado),--,--,--,--,--,--,SI,SI,--
26,BUENOS AIRES,General Pinto,Colonia San Ricardo (Est. Iriarte),SI,--,--,--,SI,SI,SI,SI,--
27,MISIONES,San Ignacio,General Urquiza,--,--,--,--,--,--,--,SI,--
28,BUENOS AIRES,Magdalena,General Mansilla (Est. Bartolomé Bavio),--,SI,--,SI,SI,--,SI,--,--
29,BUENOS AIRES,Magdalena,Los Naranjos,--,--,--,SI,--,--,--,--,--
30,BUENOS AIRES,Magdalena,Magdalena,SI,SI,SI,--,SI,SI,SI,SI,--
31,BUENOS AIRES,Magdalena,Roberto J. Payró,--,--,--,--,--,--,--,SI,--
32,BUENOS AIRES,Magdalena,Vieytes,--,--,--,SI,--,--,SI,SI,--
33,BUENOS AIRES,Maipú,Las Armas,SI,--,--,--,SI,SI,SI,SI,--
34,BUENOS AIRES,Maipú,Maipú,SI,--,SI,--,SI,SI,SI,SI,--
35,BUENOS AIRES,Maipú,Santo Domingo,--,--,--,--,SI,--,SI,SI,SI
36,BUENOS AIRES,Malvinas Argentinas,Area De Promocion El Triángulo,SI,--,--,SI,SI,SI,--,--,--
37,BUENOS AIRES,Malvinas Argentinas,Grand Bourg,SI,SI,--,SI,SI,SI,SI,--,--
38,BUENOS AIRES,Malvinas Argentinas,Ingeniero Adolfo Sourdeaux,SI,SI,--,SI,SI,SI,SI,SI,--
39,BUENOS AIRES,San Fernando,San Fernando,SI,SI,SI,SI,SI,SI,SI,SI,--
40,BUENOS AIRES,San Fernando,Victoria,SI,SI,--,SI,SI,SI,SI,SI,SI
41,BUENOS AIRES,San Fernando,Virreyes,SI,SI,--,SI,SI,SI,SI,--,--
42,BUENOS AIRES,San Isidro,Acassuso,SI,SI,SI,SI,SI,SI,SI,--,SI
43,BUENOS AIRES,San Isidro,Beccar,SI,SI,--,SI,SI,SI,SI,SI,--
